City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
221,Shenjiamen,CN,29.9576,122.298,64.49,65,70,3.83,broken clouds,2021-10-25 23:17:37
222,Port Hardy,CA,50.6996,-127.4199,51.8,86,99,25.93,light rain,2021-10-25 23:14:44
223,Cabedelo,BR,-6.9811,-34.8339,81.27,69,71,15.99,broken clouds,2021-10-25 23:11:15
224,Sangar,RU,63.9242,127.4739,21.43,96,100,5.44,light snow,2021-10-25 23:17:37
225,Ribeira Grande,PT,38.5167,-28.7,68.38,77,52,19.51,broken clouds,2021-10-25 23:10:30
226,Niquero,CU,20.0431,-77.5828,81.54,78,69,0.47,broken clouds,2021-10-25 23:17:38
227,Batagay-Alyta,RU,67.8006,130.4114,2.08,90,100,2.91,overcast clouds,2021-10-25 23:14:23
228,Saskylakh,RU,71.9167,114.0833,-1.39,97,100,2.73,overcast clouds,2021-10-25 23:10:47
229,Ponta Do Sol,PT,32.6667,-17.1,70.43,71,43,6.04,scattered clouds,2021-10-25 23:11:31
230,Gilbues,BR,-9.8317,-45.3439,81.93,58,75,6.2,broken clouds,2021-10-25 23:17:39
231,Tessalit,ML,20.1986,1.0114,85.86,19,80,8.77,broken clouds,2021-10-25 23:17:39
232,Caravelas,BR,-17.7125,-39.2481,75.06,94,100,3.31,overcast clouds,2021-10-25 23:16:28
233,Bangassou,CF,4.7413,22.8184,71.51,93,81,0.85,broken clouds,2021-10-25 23:17:40
234,Vila,PT,42.0304,-8.1588,49.93,89,1,3.62,clear sky,2021-10-25 23:17:40
235,Princeton,US,25.5384,-80.4089,84.22,84,20,5.75,few clouds,2021-10-25 23:15:20
236,Melbu,NO,68.5044,14.8297,43.32,94,100,6.13,overcast clouds,2021-10-25 23:17:41
237,Aklavik,CA,68.2191,-135.0107,25.47,95,97,1.54,overcast clouds,2021-10-25 23:11:24
238,Kasongo-Lunda,CD,-6.4667,16.8167,69.19,99,90,1.5,overcast clouds,2021-10-25 23:17:41
239,Alyangula,AU,-13.8483,136.4192,83.23,65,58,5.01,broken clouds,2021-10-25 23:17:42
240,Nokaneng,BW,-19.6667,22.2667,76.46,49,87,3.98,overcast clouds,2021-10-25 23:17:42
241,Najran,SA,17.4924,44.1277,63.25,19,13,0.49,few clouds,2021-10-25 23:17:43
242,Llanes,ES,43.4198,-4.7549,55.87,80,22,3.53,few clouds,2021-10-25 23:17:43
243,Washougal,US,45.5826,-122.3534,54.93,89,90,7.0,overcast clouds,2021-10-25 23:17:43
244,Edosaki,JP,35.95,140.3167,57.45,96,100,5.99,overcast clouds,2021-10-25 23:17:44
245,Kamenka,RU,51.3223,42.7678,28.04,73,18,5.17,few clouds,2021-10-25 23:13:03
246,Ozinki,RU,51.1786,49.6769,33.55,70,41,10.51,scattered clouds,2021-10-25 23:17:45
247,Fort Myers Beach,US,26.452,-81.9481,82.99,89,75,12.66,broken clouds,2021-10-25 23:17:37
248,Vieste,IT,41.8825,16.175,62.26,71,87,7.14,overcast clouds,2021-10-25 23:17:45
249,Mayo,US,38.8876,-76.5119,68.02,92,75,1.01,light rain,2021-10-25 23:16:14
250,Te Anau,NZ,-45.4167,167.7167,61.9,74,62,3.44,broken clouds,2021-10-25 23:12:27
251,Taltal,CL,-25.4,-70.4833,60.48,76,23,3.56,few clouds,2021-10-25 23:17:46
252,Ostersund,SE,63.1792,14.6357,37.62,100,94,2.3,fog,2021-10-25 23:17:46
253,Longyearbyen,SJ,78.2186,15.6401,19.24,63,0,18.41,clear sky,2021-10-25 23:16:11
254,La Asuncion,VE,11.0333,-63.8628,79.52,84,99,16.53,overcast clouds,2021-10-25 23:17:47
255,Surt,LY,31.2089,16.5887,72.28,70,4,6.15,clear sky,2021-10-25 23:17:47
256,Port Lincoln,AU,-34.7333,135.8667,66.88,44,100,18.72,overcast clouds,2021-10-25 23:14:45
257,Vestmanna,FO,62.1564,-7.1664,41.92,100,90,2.3,overcast clouds,2021-10-25 23:15:48
258,Arlit,NE,18.7369,7.3853,83.68,12,0,4.05,clear sky,2021-10-25 23:17:48
